SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
KIRLOSENG,1247.0,1265.3,1209.4,1215.7,275891
VIJAYA,1045.0,1046.9,1020.6,1022.4,22243
METROPOLIS,2005.1,2015.7,1965.1,1978.5,36944
INDHOTEL,720.0,721.05,703.3,707.95,2147312
PRESTIGE,1654.0,1657.2,1603.0,1604.5,240311
SUNTV,578.0,578.0,558.0,559.05,209330
OLAELEC,43.48,44.05,41.92,42.04,81131642
M&MFIN,372.9,376.3,359.3,360.4,2249257
ZFCVINDIA,15305.0,15305.0,14633.0,14681.0,9865
CIPLA,1516.0,1516.0,1455.0,1464.6,3409029
