SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
ANANDRATHI,3150.0,3178.1,3150.0,3170.7,92640
JSWCEMENT,123.0,124.32,122.06,123.48,992376
JMFINANCIL,143.64,144.84,142.01,144.6,1337047
ENDURANCE,2580.6,2587.0,2546.1,2586.8,17135
REDINGTON,287.95,292.45,283.55,287.7,1881281
BANKINDIA,150.66,151.74,149.71,151.65,3170269
HEXT,741.05,743.95,735.45,741.95,59830
GICRE,373.0,374.45,370.05,374.0,114515
SAPPHIRE,227.7,230.5,226.2,229.25,594159
ZENSARTECH,701.0,715.55,697.0,706.65,200993
SUNDARMFIN,5293.5,5340.0,5279.0,5329.0,13177
BLUEJET,526.5,533.25,521.6,529.5,122613
HUDCO,225.0,228.41,224.21,226.2,1247787
JKTYRE,511.7,518.3,509.35,513.65,431032
BIOCON,387.05,393.55,386.85,387.4,2398253
CAMS,749.75,765.9,746.8,754.0,527314
PATANJALI,577.0,582.35,571.95,577.75,624996
PNB,125.45,126.89,125.3,126.16,5951060
DALBHARAT,2124.5,2149.8,2115.9,2127.2,58785
SYNGENE,659.0,678.95,656.55,659.2,1528727
CLEAN,869.9,871.4,863.0,869.85,54487
EICHERMOT,7523.0,7566.0,7490.0,7562.5,136184
POLYMED,1779.0,1804.9,1742.6,1797.0,78953
HEROMOTOCO,6033.5,6033.5,5965.5,6028.0,271333
SCHAEFFLER,3786.1,3814.7,3766.3,3804.0,16238
CROMPTON,261.0,265.9,259.3,261.1,2515707
SCI,226.99,229.93,226.17,228.27,569029
DCMSHRIRAM,1226.0,1240.0,1226.0,1235.3,9734
UPL,801.0,809.2,797.85,802.8,2055227
ADANIENT,2265.0,2284.0,2243.0,2269.1,329847
AJANTPHARM,2840.0,2885.0,2824.4,2857.0,125649
RVNL,358.8,365.9,356.65,359.85,4392892
LLOYDSME,1316.0,1335.0,1310.0,1324.2,106613
GMRAIRPORT,103.5,105.3,103.38,104.96,8501764
PCBL,291.6,295.0,289.2,293.25,255143
RCF,143.99,145.26,143.5,144.58,445419
RECLTD,382.85,387.2,382.05,384.3,5620749
THELEELA,419.95,424.0,419.05,421.55,63091
SWIGGY,362.9,366.5,360.45,362.35,6473384
ASTRAL,1478.0,1508.5,1478.0,1492.7,686664
GRANULES,611.5,627.0,610.25,614.4,1627769
JUBLPHARMA,1073.4,1107.8,1069.3,1083.0,69571
IRFC,127.5,128.5,126.79,127.67,7020463
KEI,4500.0,4587.3,4488.0,4541.5,63709
BAYERCROP,4501.0,4540.0,4500.9,4522.9,3908
NAVINFLUOR,5779.5,5820.0,5727.5,5769.5,42302
PPLPHARMA,180.9,185.04,179.98,180.55,4548669
TATACONSUM,1216.4,1220.9,1209.0,1214.2,498292
CGPOWER,636.85,642.0,634.5,639.8,623089
APLLTD,825.7,841.9,821.6,828.25,40904
HFCL,69.47,71.29,69.16,69.68,15758618
IDBI,108.2,109.56,106.7,108.55,8817669
